person_id,name,legal_balls,cricinfo_id,bowling_style,source
495d42a5,R Ashwin,4710,26421,spin,web
9d430b40,SP Narine,4660,230558,spin,web
2e81a32d,B Kumar,4600,326016,pace,web
fe93fd9d,RA Jadeja,4254,234675,spin,web
57ee1fde,YS Chahal,4037,430246,spin,web
98ae73b1,PP Chawla,3850,32966,spin,web
462411b3,JJ Bumrah,3653,625383,pace,web
2e171977,AR Patel,3585,554691,spin,web
5f547c8b,Rashid Khan,3543,793463,spin,web
8b5b6769,Harbhajan Singh,3416,29264,spin,web
6b19d823,A Mishra,3371,31107,spin,web
ce820073,Sandeep Sharma,3163,438362,pace,web
87e562a9,DJ Bravo,3120,51439,pace,web
cc1e8c68,UT Yadav,3056,376116,pace,web
8cf9814c,Mohammed Shami,2920,481896,pace,web
a12e1d51,SL Malinga,2827,49758,pace,web
a818c1be,TA Boult,2784,277912,pace,web
5b8c830e,KH Pandya,2701,471342,spin,web
2f49c897,Mohammed Siraj,2672,940973,pace,web
e938e1bc,P Kumar,2524,30732,pace,web
f986ca1a,HV Patel,2506,390481,pace,web
5bb1a1c4,I Sharma,2419,236779,pace,web
759ac88f,MM Sharma,2403,537119,pace,web
1e66c162,JD Unadkat,2351,390484,pace,web
e62dd25d,K Rabada,2299,550215,pace,web
8d2c70ad,Kuldeep Yadav,2286,559235,spin,web
1abb78f8,SN Thakur,2202,475281,pace,web
91a4a398,Z Khan,2200,30102,pace,web
8fd1a8f5,DW Steyn,2182,47492,pace,web
5b7ab5a9,CV Varun,2134,1108375,spin,web
41eb4a4f,R Vinay Kumar,2127,35731,pace,web
23eeb873,DL Chahar,2068,447261,pace,web
5fa06777,IK Pathan,2043,32685,pace,web
244048f6,Arshdeep Singh,2032,1125976,pace,web
4329fbb5,SR Watson,2029,8180,pace,web
96fd40ae,A Nehra,1908,31820,pace,web
6c6591ab,PP Ojha,1899,32130,spin,web
ded9240e,PJ Cummins,1809,489889,pace,web
bbd41817,AD Russell,1806,276298,pace,web
df064e1a,Ravi Bishnoi,1789,1175441,spin,web
d2a989fc,DS Kulkarni,1787,277955,pace,web
c3d1402f,RP Singh,1775,35280,pace,web
eef2536f,Avesh Khan,1767,694211,pace,web
dbe50b21,HH Pandya,1764,625371,pace,web
86dc8f2e,JH Kallis,1742,45789,pace,web
85e0cf10,M Prasidh Krishna,1739,917159,pace,web
fb66ce1f,CH Morris,1726,439952,pace,web
c3d35165,JA Morkel,1723,46248,pace,web
2ed569a0,RD Chahar,1694,1064812,spin,web
a2f46292,KK Ahmed,1657,942645,pace,web
33a364a6,R Bhatia,1636,26907,pace,web
5bb5a915,M Morkel,1629,46538,pace,web
119678fd,KV Sharma,1585,30288,spin,web
5574750c,JC Archer,1578,669855,pace,web
ce794613,T Natarajan,1553,802575,pace,web
4ba44e19,M Muralitharan,1528,49636,spin,web
66b30f71,AB Dinda,1516,227712,pace,web
b2b50355,L Balaji,1512,26829,pace,web
3d7e087f,SK Trivedi,1506,35353,pace,web
a757b0d8,KA Pollard,1488,230559,pace,web
7dc35884,Shakib Al Hasan,1484,56143,spin,web
9d80c5e1,S Nadeem,1415,31872,spin,web
0a8fce53,Mustafizur Rahman,1364,330902,pace,web
f0f628c7,MM Patel,1355,32965,pace,web
acee4cc4,Imran Tahir,1316,40618,spin,web
51a3c5ef,MJ McClenaghan,1274,319439,pace,web
e94915e6,SM Curran,1253,662973,pace,web
808f425a,JP Faulkner,1238,270484,pace,web
f5180fe6,MG Johnson,1235,6033,pace,web
0f721006,JO Holder,1225,391485,pace,web
dcf81436,S Kaul,1209,326017,pace,web
