# Maps every team-name string in the Cricsheet IPL archive to a stable franchise.
# Confirmed by hand against etl/inspect_teams.py output, 2026-07-29.
# SPEC 4.3 forbids guessing: every merge below was explicitly authorised.
#
# display_name is NOT taken from here. The era-correct name per season comes from
# the team string as it appears in that season's own match files.
team_name,canonical_franchise
Chennai Super Kings,Chennai Super Kings
Deccan Chargers,Deccan Chargers
Delhi Daredevils,Delhi Capitals
Delhi Capitals,Delhi Capitals
Kings XI Punjab,Punjab Kings
Punjab Kings,Punjab Kings
Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Mumbai Indians
Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Royal Challengers Bengaluru
Royal Challengers Bengaluru,Royal Challengers Bengaluru
Kochi Tuskers Kerala,Kochi Tuskers Kerala
Pune Warriors,Pune Warriors
Sunrisers Hyderabad,Sunrisers Hyderabad
Gujarat Lions,Gujarat Lions
Rising Pune Supergiants,Rising Pune Supergiant
Rising Pune Supergiant,Rising Pune Supergiant
Gujarat Titans,Gujarat Titans
Lucknow Super Giants,Lucknow Super Giants
