person_id,name,matches,stumpings,is_keeper
ba607b88,V Kohli,278,0,
740742ef,RG Sharma,278,0,
4a8a2e3b,MS Dhoni,265,47,y
fe93fd9d,RA Jadeja,264,0,
c03f1114,KD Karthik,250,37,y
0a476045,S Dhawan,222,0,
495d42a5,R Ashwin,219,0,
2e81a32d,B Kumar,206,0,
29e95537,AM Rahane,202,0,
9d430b40,SP Narine,201,0,
1dc12ab9,SK Raina,201,0,
1c17e270,RV Uthappa,200,32,y
70d205c9,AT Rayudu,195,2,y
98ae73b1,PP Chawla,192,0,
a4cc73aa,SV Samson,190,19,y
57ee1fde,YS Chahal,185,0,
a757b0d8,KA Pollard,185,0,
dcce6f09,DA Warner,185,0,
2e171977,AR Patel,179,0,
c4487b84,AB de Villiers,179,8,y
271f83cd,SA Yadav,175,0,
93b4fc78,MK Pandey,170,0,
3c6ffae8,YK Pathan,164,0,
8b5b6769,Harbhajan Singh,163,0,
6b19d823,A Mishra,162,0,
dbe50b21,HH Pandya,160,0,
87e562a9,DJ Bravo,160,0,
5b8c830e,KH Pandya,158,0,
462411b3,JJ Bumrah,158,0,
fe11caa6,WP Saha,157,26,y
b17e2f24,KL Rahul,155,8,y
5f547c8b,Rashid Khan,153,0,
d67d5f00,DA Miller,153,0,
bb345e0b,G Gambhir,152,0,
3355b542,F du Plessis,151,0,
cc1e8c68,UT Yadav,147,0,
85ec8e33,SS Iyer,145,0,
4329fbb5,SR Watson,145,0,
ce820073,Sandeep Sharma,142,0,
b681e71e,GJ Maxwell,141,0,
db584dad,CH Gayle,141,0,
919a3be2,RR Pant,138,24,y
b5da6c24,PA Patel,137,16,y
99b75528,JC Buttler,137,4,y
bbd41817,AD Russell,136,0,
b4b99816,Shubman Gill,132,0,
8cf9814c,Mohammed Shami,132,0,
752f7486,Ishan Kishan,130,6,y
1c914163,Yuvraj Singh,129,0,
00ea847a,MA Agarwal,128,0,
fb2d1dda,N Rana,126,0,
2f49c897,Mohammed Siraj,125,0,
a818c1be,TA Boult,124,0,
a12e1d51,SL Malinga,122,0,
f986ca1a,HV Patel,122,0,
d9273ee7,MP Stoinis,120,0,
759ac88f,MM Sharma,120,0,
e938e1bc,P Kumar,119,0,
39a2dfa8,R Tewatia,118,0,
372455c4,Q de Kock,118,17,y
5bb1a1c4,I Sharma,117,0,
1e66c162,JD Unadkat,115,0,
73ad96ed,DJ Hooda,114,0,
1abb78f8,SN Thakur,113,0,
8d2c70ad,Kuldeep Yadav,110,0,
b8a55852,BB McCullum,110,6,y
4b57e452,M Vijay,106,0,
41eb4a4f,R Vinay Kumar,105,0,
8ba8195d,V Sehwag,104,0,
3241e3fd,N Pooran,103,4,y
c3a96caf,Mandeep Singh,103,0,
23eeb873,DL Chahar,103,0,
