franchise_season_id,squad,person_id,name,matches,stumpings,catches,catch_rank,balls_bowled,keeper_elsewhere,cricinfo_id,kept
17,2008 Chennai Super Kings,4a8a2e3b,MS Dhoni,14,0,6,1,0,y,28081,y
17,2008 Chennai Super Kings,b5da6c24,PA Patel,13,0,6,2,0,y,32242,y
17,2008 Chennai Super Kings,3576e47e,S Badrinath,12,0,5,3,0,,26806,
34,2008 Deccan Chargers,2b6e6dec,AC Gilchrist,14,1,6,1,0,y,5390,y
34,2008 Deccan Chargers,e1d1b294,HH Gibbs,9,0,5,2,0,,45224,
34,2008 Deccan Chargers,b9be6507,AS Yadav,6,0,1,3,0,,36110,
39,2008 Delhi Daredevils,c03f1114,KD Karthik,10,2,6,2,0,y,30045,y
39,2008 Delhi Daredevils,0a476045,S Dhawan,14,0,8,1,0,,28235,
39,2008 Delhi Daredevils,c4487b84,AB de Villiers,7,0,3,3,0,y,44936,
112,2008 Kings XI Punjab,6b71e6cf,KC Sangakkara,9,0,4,1,0,y,50710,y
112,2008 Kings XI Punjab,d18f9182,DPMD Jayawardene,13,0,3,2,0,,49289,
112,2008 Kings XI Punjab,508a1ea7,SE Marsh,11,0,3,3,0,,6683,
66,2008 Kolkata Knight Riders,fe11caa6,WP Saha,12,2,8,1,0,y,279810,y
66,2008 Kolkata Knight Riders,e249fdaa,A Chopra,5,0,2,2,0,,27639,
66,2008 Kolkata Knight Riders,7d415ea5,RT Ponting,4,0,2,3,0,,7133,
66,2008 Kolkata Knight Riders,b8a55852,BB McCullum,4,0,1,5,0,y,37737,
90,2008 Mumbai Indians,4e04666c,YV Takawale,7,1,10,1,0,y,35357,y
90,2008 Mumbai Indians,1c17e270,RV Uthappa,14,0,9,2,0,y,35582,
90,2008 Mumbai Indians,d2c2b2d5,SR Tendulkar,7,0,6,3,0,,35320,
90,2008 Mumbai Indians,0aadc906,PR Shah,5,0,4,4,0,y,34282,
131,2008 Rajasthan Royals,ff077124,Kamran Akmal,6,4,5,3,0,,41028,y
