person_id,name,matches,cricinfo_id,archive_says,illegal_xis,cap_proves_domestic,nationality
4ec07775,RN ten Doeschate,26,47660,Netherlands,1,,Netherlands
05c2ca46,RE van der Merwe,21,47850,Netherlands,0,,South Africa
3fca55af,S Sohal,20,228943,United States of America,19,,India
aa8d28ae,D Wiese,19,221140,Namibia,1,,South Africa
dec8e038,J Theron,10,223642,United States of America,1,,South Africa
f10e94c4,AD Nath,10,500360,United Arab Emirates,9,,India
90edaaa9,S Rana,9,33757,Seychelles,9,,India
b410bd3d,S Lamichhane,9,960361,Nepal,0,,Nepal
d7b3a420,Jaskaran Singh,8,376102,Canada,8,,India
28c78fb3,Harpreet Singh,8,340854,United Arab Emirates,8,,India
c9cac448,T Mishra,1,24790,Kenya,1,,India
b4296080,Milind Kumar,1,451947,United States of America,1,,India
0bf15e52,Harmeet Singh (2),1,422847,United States of America,0,,India
5f547c8b,Rashid Khan,153,793463,,,,Afghanistan
39a2dfa8,R Tewatia,118,423838,,,,India
33a364a6,R Bhatia,95,26907,,,,India
3d7e087f,SK Trivedi,76,35353,,,,India
9418198b,P Simran Singh,66,1161024,,,,India
8e514b4c,Abdul Samad,65,1175485,,,,India
872b03f7,A Badoni,62,1151270,,,,India
c8179c68,SB Jakati,58,29655,,,,India
7dcb9bc9,M Shahrukh Khan,57,719719,,,,India
c03e2850,M Vohra,53,532856,,,,India
7a8bd078,S Gopal,51,344580,,,,India
efc04be7,Noor Ahmad,51,1182529,,,,Afghanistan
c05edf8e,Harpreet Brar,50,1168641,,,,India
85aae393,Iqbal Abdulla,48,277237,,,,India
b1451597,LR Shukla,46,34019,,,,India
26989d80,Shashank Singh,45,377534,,,,India
e2db2409,M Ashwin,44,528067,,,,India
7210d461,Yash Dayal,43,1159720,,,,India
aaa1b522,TL Suman,43,34281,,,,India
9fc0ef64,PJ Sangwan,43,279545,,,,India
7c3b3b78,VG Arora,42,1209292,,,,India
da934ee8,MK Lomror,41,853265,,,,India
c42aaf71,M Manhas,41,31001,,,,India
9440ef41,Suyash Sharma,39,1350792,,,,India
5afd4539,MS Bisla,39,27280,,,,India
d1a60072,N Wadhera,38,1151273,,,,India
fffa744b,Naman Dhir,36,1287032,,,,India
ad3b6e95,Abishek Porel,34,1277545,,,,India
d7017798,A Raghuvanshi,34,1292495,,,,India
6aed7e79,PV Tambe,33,587152,,,,India
5d2eea49,Kartik Tyagi,33,1122918,,,,India
626c5379,R Sathish,31,33870,,,,India
b5797845,Priyansh Arya,31,1175456,,,,India
855a210c,AP Tare,31,333904,,,,India
c33d8116,Mohsin Khan (2),30,1132005,,,,India
c18496e1,Bipul Sharma,30,35928,,,,India
e4cdf230,AS Roy,30,1079839,,,,India
541f85c9,SP Goswami,29,302579,,,,India
db31895a,AS Rajpoot,29,591650,,,,India
ad427b5c,Lalit Yadav,28,930189,,,,India
4125d931,J Suchith,28,527663,,,,India
b720a5d6,DB Ravi Teja,28,237701,,,,India
84d9c311,Ashutosh Sharma,28,1131978,,,,India
1c2a64cd,A Ashish Reddy,28,389605,,,,India
2a72fd4f,Harmeet Singh,27,391128,,,,India
12314277,Arshad Khan (2),26,1244751,,,,India
8291f939,AL Menaria,26,371150,,,,India
54e52590,Vijaykumar Vyshak,25,777815,,,,India
b8527c3d,Rasikh Salam,25,1161489,,,,India
557153ca,KK Cooper,25,371814,,,,India
871e9faf,Basil Thampi,25,732291,,,,India
0890552f,A Manohar,25,778963,,,,India
765a4731,Mukesh Choudhary,24,1125688,,,,India
62af8546,Mohammad Nabi,24,25913,,,,Afghanistan
e0407c01,IC Pandey,24,447439,,,,India
7050a1e7,DB Das,24,328163,,,,India
c8f5f961,Anuj Rawat,24,1123073,,,,India
662c47a6,Y Nagar,23,317786,,,,India
25eeb281,PC Valthaty,23,35630,,,,India
13fc5c6d,DS Rathi,23,1460529,,,,India
063b3673,DH Yagnik,23,36071,,,,India
a3b0600d,Aniket Verma,23,1409976,,,,India
5b040b81,A Singh,23,26789,,,,India
0c94f480,UBT Chand,22,446499,,,,India
f89d3b11,Sameer Rizvi,22,1175489,,,,India
bb965e9a,PK Garg,22,1070180,,,,India
5451a2c1,B Chipli,22,27685,,,,India
69be866a,Anureet Singh,22,376324,,,,India
c69a7b5c,AS Raut,22,230593,,,,India
24d94623,Ankit Sharma,21,422992,,,,India
2815fe50,AA Jhunjhunwala,21,29702,,,,India
ae091d39,SA Asnodkar,20,26782,,,,India
7d92277a,Mujeeb Ur Rahman,20,974109,,,,Afghanistan
a1f1829d,K Goel,20,28997,,,,India
5ffc0565,V Nigam,19,1449074,,,,India
6b2ff18f,SB Dubey,18,1252585,,,,India
0bacade8,Rahmanullah Gurbaz,18,974087,,,,Afghanistan
8f6dd463,Azmatullah Omarzai,18,819429,,,,Afghanistan
93a17209,VY Mahesh,17,31732,,,,India
95a2ea61,S Anirudha,17,26798,,,,India
c0c411cb,Naveen-ul-Haq,17,793447,,,,Afghanistan
6afb26d6,MD Mishra,17,31028,,,,India
4bd09374,Akash Madhwal,17,1206039,,,,India
2af1b6d2,AN Ahmed,17,228430,,,,India
4e04666c,YV Takawale,16,35357,,,,India
de8d3876,M Rawat,16,33440,,,,India
b4f5c2d9,KL Nagarkoti,16,1070188,,,,India
f6d8a7ab,K Kartikeya,16,1159843,,,,India
0aadc906,PR Shah,15,34282,,,,India
d92e42f5,KP Appanna,15,269170,,,,India
dc4686e6,BA Bhatt,15,433410,,,,India
af7dadf7,B Akhil,15,26206,,,,India
b552a935,AC Thomas,15,47569,,,,South Africa
983f2f61,Swapnil Singh,14,232292,,,,India
